EC number	KEGG pathway(s)
1.13.11.27	Ubiquinone and other terpenoid-quinone biosynthesis; Tyrosine metabolism; Phenylalanine metabolism
1.14.13.-	Ubiquinone and other terpenoid-quinone biosynthesis; Histidine metabolism; Phenylalanine metabolism; Tryptophan metabolism
1.14.13.11	Ubiquinone and other terpenoid-quinone biosynthesis; Phenylalanine metabolism; Biosynthesis of secondary metabolites
1.14.13.116	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
1.17.4.4	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
1.21.98.1	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
1.6.5.2	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.1.1.114	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.1.1.163	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.1.1.201	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.1.1.222	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.1.1.295	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.1.1.64	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.1.1.95	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.2.1.9	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.4.1.194	Ubiquinone and other terpenoid-quinone biosynthesis
2.5.1.-	Ubiquinone and other terpenoid-quinone biosynthesis; Cysteine and methionine metabolism; Tryptophan metabolism; Sulfur metabolism
2.5.1.115	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.116	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.117	Ubiquinone and other terpenoid-quinone biosynthesis
2.5.1.120	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.39	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.74	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.5.1.93	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
2.6.1.5	"Ubiquinone and other terpenoid-quinone biosynthesis; Cysteine and methionine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
3.1.2.23	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
3.1.2.28	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
3.2.1.-	Ubiquinone and other terpenoid-quinone biosynthesis
3.2.2.26	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
3.2.2.30	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
3.5.4.40	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
4.1.1.90	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
4.1.1.98	Ubiquinone and other terpenoid-quinone biosynthesis
4.1.3.36	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
4.1.3.40	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
4.2.1.113	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
4.2.1.151	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
4.2.99.20	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
5.4.4.2	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
5.5.1.24	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
6.2.1.12	Ubiquinone and other terpenoid-quinone biosynthesis; Phenylalanine metabolism; Biosynthesis of secondary metabolites
6.2.1.26	Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites
1.10.2.2	Oxidative phosphorylation
1.6.5.11	Oxidative phosphorylation
1.6.5.3	Oxidative phosphorylation
1.6.99.3	Oxidative phosphorylation
1.9.3.1	Oxidative phosphorylation
2.7.4.1	Oxidative phosphorylation
3.6.1.1	Oxidative phosphorylation
3.6.3.10	Oxidative phosphorylation
3.6.3.14	Oxidative phosphorylation
3.6.3.6	Oxidative phosphorylation
1.14.13.165	Arginine biosynthesis; Arginine and proline metabolism; Biosynthesis of antibiotics
1.14.13.39	Arginine biosynthesis; Arginine and proline metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.2.1.38	Arginine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.4.1.2	"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Nitrogen metabolism"
1.4.1.3	"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; D-Glutamine and D-glutamate metabolism; Nitrogen metabolism"
1.4.1.4	"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Nitrogen metabolism"
2.1.3.3	Arginine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.1.3.9	Arginine biosynthesis
2.3.1.1	Arginine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.3.1.35	Arginine biosynthesis; Biosynthesis of antibiotics
2.6.1.-	"Arginine biosynthesis; Purine metabolism; Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis; Arginine and proline metabolism; Phenylalanine metabolism; Tryptophan metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
2.6.1.1	"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Cysteine and methionine metabolism; Arginine and proline metabolism; Tyrosine metabolism; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.6.1.11	Arginine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.6.1.2	"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism"
2.7.2.-	Arginine biosynthesis; Lysine biosynthesis
2.7.2.2	Arginine biosynthesis; Purine metabolism; Nitrogen metabolism
2.7.2.8	Arginine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.5.1.14	Arginine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.5.1.16	Arginine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.5.1.2	"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; D-Glutamine and D-glutamate metabolism"
3.5.1.38	"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; D-Glutamine and D-glutamate metabolism; Biosynthesis of secondary metabolites"
3.5.1.5	Arginine biosynthesis; Purine metabolism
3.5.1.54	Arginine biosynthesis
3.5.3.1	Arginine biosynthesis; Arginine and proline metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.5.3.6	Arginine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
4.3.2.1	"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
6.3.1.2	"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Glyoxylate and dicarboxylate metabolism; Nitrogen metabolism"
6.3.2.-	Arginine biosynthesis; Tryptophan metabolism
6.3.4.16	"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Nitrogen metabolism"
6.3.4.5	"Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
6.3.4.6	Arginine biosynthesis
1.1.1.154	Purine metabolism
1.1.1.205	Purine metabolism; Biosynthesis of secondary metabolites
1.1.1.350	Purine metabolism
1.14.13.113	Purine metabolism
1.17.1.4	Purine metabolism
1.17.3.2	Purine metabolism; Biosynthesis of secondary metabolites
1.17.4.1	Purine metabolism; Pyrimidine metabolism; Glutathione metabolism
1.17.4.2	Purine metabolism; Pyrimidine metabolism
1.7.1.7	Purine metabolism
1.7.3.3	Purine metabolism
2.1.2.2	Purine metabolism; One carbon pool by folate; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.1.2.3	Purine metabolism; One carbon pool by folate; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.1.2.4	Purine metabolism; One carbon pool by folate
2.1.3.5	Purine metabolism
2.4.2.-	Purine metabolism
2.4.2.1	Purine metabolism; Pyrimidine metabolism; Biosynthesis of secondary metabolites
2.4.2.14	"Purine metabolism; Alanine, aspartate and glutamate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.4.2.15	Purine metabolism
2.4.2.16	Purine metabolism
2.4.2.22	Purine metabolism; Biosynthesis of secondary metabolites
2.4.2.7	Purine metabolism
2.4.2.8	Purine metabolism; Biosynthesis of secondary metabolites
2.7.1.113	Purine metabolism
2.7.1.20	Purine metabolism
2.7.1.25	Purine metabolism; Sulfur metabolism
2.7.1.73	Purine metabolism
2.7.1.74	Purine metabolism; Pyrimidine metabolism
2.7.1.76	Purine metabolism
2.7.4.10	Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.4.11	Purine metabolism
2.7.4.3	Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.4.6	Purine metabolism; Pyrimidine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.7.4.8	Purine metabolism
2.7.6.5	Purine metabolism
2.7.7.4	Purine metabolism; Sulfur metabolism; Biosynthesis of antibiotics
2.7.7.53	Purine metabolism
2.7.7.6	Purine metabolism; Pyrimidine metabolism
2.7.7.7	Purine metabolism; Pyrimidine metabolism
2.7.7.8	Purine metabolism; Pyrimidine metabolism
3.1.3.5	Purine metabolism; Pyrimidine metabolism; Biosynthesis of secondary metabolites
3.1.3.6	Purine metabolism; Pyrimidine metabolism
3.1.4.16	Purine metabolism; Pyrimidine metabolism
3.1.4.17	Purine metabolism
3.1.4.35	Purine metabolism
3.1.4.53	Purine metabolism
3.1.5.1	Purine metabolism
3.1.7.2	Purine metabolism
3.2.2.1	Purine metabolism
3.2.2.12	Purine metabolism
3.2.2.2	Purine metabolism
3.2.2.4	Purine metabolism
3.2.2.7	Purine metabolism
3.2.2.8	Purine metabolism; Pyrimidine metabolism
3.5.1.116	Purine metabolism
3.5.2.-	Purine metabolism; Histidine metabolism
3.5.2.17	Purine metabolism
3.5.2.5	Purine metabolism
3.5.3.-	Purine metabolism
3.5.3.26	Purine metabolism
3.5.3.4	Purine metabolism
3.5.3.9	Purine metabolism
3.5.4.10	Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.5.4.2	Purine metabolism
3.5.4.3	Purine metabolism
3.5.4.4	Purine metabolism
3.5.4.6	Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
3.5.4.8	Purine metabolism
3.6.1.-	Purine metabolism
3.6.1.11	Purine metabolism
3.6.1.13	Purine metabolism
3.6.1.14	Purine metabolism
3.6.1.15	Purine metabolism
3.6.1.17	Purine metabolism; Pyrimidine metabolism
3.6.1.19	Purine metabolism; Pyrimidine metabolism
3.6.1.20	Purine metabolism
3.6.1.29	Purine metabolism
3.6.1.3	Purine metabolism
3.6.1.40	Purine metabolism
3.6.1.41	Purine metabolism
3.6.1.5	Purine metabolism; Pyrimidine metabolism
3.6.1.6	Purine metabolism; Pyrimidine metabolism
3.6.1.61	Purine metabolism
3.6.1.64	Purine metabolism
3.6.1.66	Purine metabolism
3.6.1.8	Purine metabolism; Pyrimidine metabolism
3.6.1.9	Purine metabolism; Starch and sucrose metabolism
4.1.1.21	Purine metabolism; Biosynthesis of secondary metabolites
4.1.1.97	Purine metabolism
4.3.2.2	"Purine metabolism; Alanine, aspartate and glutamate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
4.3.2.3	Purine metabolism
4.6.1.1	Purine metabolism
4.6.1.2	Purine metabolism
5.1.99.3	Purine metabolism
5.4.99.18	Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
6.3.2.6	Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
6.3.3.1	Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
6.3.4.13	Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
6.3.4.18	Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
6.3.4.23	Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
6.3.4.4	"Purine metabolism; Alanine, aspartate and glutamate metabolism"
6.3.4.7	Purine metabolism
6.3.5.2	Purine metabolism
6.3.5.3	Purine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
1.14.99.46	Pyrimidine metabolism
1.17.99.4	Pyrimidine metabolism
1.3.1.1	Pyrimidine metabolism
1.3.1.14	Pyrimidine metabolism
1.3.1.2	Pyrimidine metabolism
1.3.5.2	Pyrimidine metabolism
1.3.98.1	Pyrimidine metabolism
1.8.1.9	Pyrimidine metabolism
2.1.1.148	Pyrimidine metabolism; One carbon pool by folate
2.1.1.45	Pyrimidine metabolism; One carbon pool by folate
2.1.2.8	Pyrimidine metabolism; One carbon pool by folate
2.1.3.2	"Pyrimidine metabolism; Alanine, aspartate and glutamate metabolism"
2.4.2.10	Pyrimidine metabolism
2.4.2.2	Pyrimidine metabolism
2.4.2.3	Pyrimidine metabolism
2.4.2.4	Pyrimidine metabolism
2.4.2.6	Pyrimidine metabolism
2.4.2.9	Pyrimidine metabolism
2.7.1.21	Pyrimidine metabolism
2.7.1.48	Pyrimidine metabolism
2.7.1.83	Pyrimidine metabolism
2.7.4.14	Pyrimidine metabolism
2.7.4.22	Pyrimidine metabolism
2.7.4.9	Pyrimidine metabolism
3.2.-.-	Pyrimidine metabolism
3.2.2.10	Pyrimidine metabolism
3.2.2.3	Pyrimidine metabolism
3.5.1.-	"Pyrimidine metabolism; Glycine, serine and threonine metabolism; Glutathione metabolism"
3.5.1.110	Pyrimidine metabolism
3.5.1.6	Pyrimidine metabolism
3.5.1.95	Pyrimidine metabolism
3.5.2.1	Pyrimidine metabolism
3.5.2.2	Pyrimidine metabolism
3.5.2.3	Pyrimidine metabolism
3.5.4.1	Pyrimidine metabolism; Arginine and proline metabolism
3.5.4.12	Pyrimidine metabolism
3.5.4.13	Pyrimidine metabolism
3.5.4.30	Pyrimidine metabolism
3.5.4.5	Pyrimidine metabolism
3.6.1.12	Pyrimidine metabolism
3.6.1.23	Pyrimidine metabolism
3.6.1.39	Pyrimidine metabolism
4.1.1.23	Pyrimidine metabolism
4.2.1.70	Pyrimidine metabolism
6.3.4.2	Pyrimidine metabolism
6.3.5.5	"Pyrimidine metabolism; Alanine, aspartate and glutamate metabolism"
1.2.1.16	"Alanine, aspartate and glutamate metabolism; Tyrosine metabolism"
1.2.1.24	"Alanine, aspartate and glutamate metabolism"
1.2.1.79	"Alanine, aspartate and glutamate metabolism"
1.2.1.88	"Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism"
1.4.1.1	"Alanine, aspartate and glutamate metabolism"
1.4.1.13	"Alanine, aspartate and glutamate metabolism; Nitrogen metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.4.1.14	"Alanine, aspartate and glutamate metabolism; Nitrogen metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.4.3.1	"Alanine, aspartate and glutamate metabolism"
1.4.3.15	"Alanine, aspartate and glutamate metabolism; D-Glutamine and D-glutamate metabolism"
1.4.3.16	"Alanine, aspartate and glutamate metabolism"
1.4.3.2	"Alanine, aspartate and glutamate metabolism; Cysteine and methionine metabolism; Valine, leucine and isoleucine degradation; Tyrosine metabolism; Phenylalanine metabolism; Tryptophan metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
2.3.1.17	"Alanine, aspartate and glutamate metabolism"
2.6.1.12	"Alanine, aspartate and glutamate metabolism"
2.6.1.14	"Alanine, aspartate and glutamate metabolism"
2.6.1.15	"Alanine, aspartate and glutamate metabolism"
2.6.1.16	"Alanine, aspartate and glutamate metabolism; Biosynthesis of antibiotics"
2.6.1.19	"Alanine, aspartate and glutamate metabolism"
2.6.1.44	"Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Biosynthesis of secondary metabolites"
2.6.1.96	"Alanine, aspartate and glutamate metabolism"
3.4.17.21	"Alanine, aspartate and glutamate metabolism"
3.5.1.1	"Alanine, aspartate and glutamate metabolism; Biosynthesis of secondary metabolites"
3.5.1.111	"Alanine, aspartate and glutamate metabolism"
3.5.1.15	"Alanine, aspartate and glutamate metabolism; Histidine metabolism"
3.5.1.3	"Alanine, aspartate and glutamate metabolism"
3.5.1.7	"Alanine, aspartate and glutamate metabolism"
4.1.1.12	"Alanine, aspartate and glutamate metabolism; Cysteine and methionine metabolism"
4.1.1.15	"Alanine, aspartate and glutamate metabolism; Biosynthesis of secondary metabolites"
4.3.1.1	"Alanine, aspartate and glutamate metabolism"
5.1.1.13	"Alanine, aspartate and glutamate metabolism"
6.3.1.1	"Alanine, aspartate and glutamate metabolism; Biosynthesis of secondary metabolites"
6.3.1.17	"Alanine, aspartate and glutamate metabolism"
6.3.2.41	"Alanine, aspartate and glutamate metabolism"
6.3.2.42	"Alanine, aspartate and glutamate metabolism"
6.3.5.4	"Alanine, aspartate and glutamate metabolism; Biosynthesis of secondary metabolites"
1.14.13.38	Tetracycline biosynthesis; Biosynthesis of antibiotics
1.14.14.-	Tetracycline biosynthesis
2.1.1.-	Tetracycline biosynthesis; Cysteine and methionine metabolism; Histidine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Tryptophan metabolism
4.2.1.-	"Tetracycline biosynthesis; Lysine biosynthesis; Tyrosine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis"
6.3.5.-	Tetracycline biosynthesis
1.1.1.103	"Glycine, serine and threonine metabolism"
1.1.1.29	"Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.1.1.3	"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.1.1.381	"Glycine, serine and threonine metabolism"
1.1.1.75	"Glycine, serine and threonine metabolism"
1.1.1.81	"Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites"
1.1.1.95	"Glycine, serine and threonine metabolism; Biosynthesis of antibiotics"
1.1.3.17	"Glycine, serine and threonine metabolism"
1.1.99.1	"Glycine, serine and threonine metabolism"
1.14.11.-	"Glycine, serine and threonine metabolism"
1.14.15.7	"Glycine, serine and threonine metabolism"
1.2.1.11	"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.2.1.8	"Glycine, serine and threonine metabolism"
1.4.2.1	"Glycine, serine and threonine metabolism"
1.4.3.21	"Glycine, serine and threonine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Biosynthesis of secondary metabolites"
1.4.3.3	"Glycine, serine and threonine metabolism; Penicillin and cephalosporin biosynthesis; Arginine and proline metabolism; D-Arginine and D-ornithine metabolism; Biosynthesis of antibiotics"
1.4.3.4	"Glycine, serine and threonine metabolism; Arginine and proline metabolism; Histidine metabolism; Tyrosine metabolism; Phenylalanine metabolism; Tryptophan metabolism; Biosynthesis of secondary metabolites"
1.4.4.2	"Glycine, serine and threonine metabolism"
1.5.3.1	"Glycine, serine and threonine metabolism"
1.5.8.3	"Glycine, serine and threonine metabolism"
1.5.8.4	"Glycine, serine and threonine metabolism"
2.1.1.156	"Glycine, serine and threonine metabolism"
2.1.1.157	"Glycine, serine and threonine metabolism"
2.1.1.161	"Glycine, serine and threonine metabolism"
2.1.1.2	"Glycine, serine and threonine metabolism; Arginine and proline metabolism"
2.1.1.20	"Glycine, serine and threonine metabolism"
2.1.1.5	"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism"
2.1.2.1	"Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; One carbon pool by folate; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.1.2.10	"Glycine, serine and threonine metabolism; One carbon pool by folate"
2.1.4.1	"Glycine, serine and threonine metabolism; Arginine and proline metabolism"
2.3.1.178	"Glycine, serine and threonine metabolism"
2.3.1.29	"Glycine, serine and threonine metabolism"
2.3.1.37	"Glycine, serine and threonine metabolism"
2.6.1.4	"Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.6.1.45	"Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.6.1.51	"Glycine, serine and threonine metabolism"
2.6.1.52	"Glycine, serine and threonine metabolism; Biosynthesis of antibiotics"
2.6.1.76	"Glycine, serine and threonine metabolism"
2.7.1.31	"Glycine, serine and threonine metabolism; Glyoxylate and dicarboxylate metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.7.1.39	"Glycine, serine and threonine metabolism; Biosynthesis of secondary metabolites"
2.7.2.4	"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Lysine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.7.3.5	"Glycine, serine and threonine metabolism"
2.7.8.8	"Glycine, serine and threonine metabolism; Biosynthesis of secondary metabolites"
3.1.3.3	"Glycine, serine and threonine metabolism; Biosynthesis of antibiotics"
3.1.3.38	"Glycine, serine and threonine metabolism"
3.5.3.3	"Glycine, serine and threonine metabolism; Arginine and proline metabolism"
4.1.1.86	"Glycine, serine and threonine metabolism"
4.1.2.5	"Glycine, serine and threonine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
4.2.1.108	"Glycine, serine and threonine metabolism"
4.2.1.20	"Glycine, serine and threonine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites"
4.2.1.22	"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Biosynthesis of antibiotics"
4.2.3.1	"Glycine, serine and threonine metabolism; Biosynthesis of secondary metabolites"
4.3.1.17	"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
4.3.1.18	"Glycine, serine and threonine metabolism"
4.3.1.19	"Glycine, serine and threonine metabolism; Valine, leucine and isoleucine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
4.4.1.1	"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Biosynthesis of antibiotics"
5.1.1.10	"Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; D-Glutamine and D-glutamate metabolism; D-Arginine and D-ornithine metabolism"
5.1.1.18	"Glycine, serine and threonine metabolism"
1.1.1.310	Cysteine and methionine metabolism
1.1.1.338	Cysteine and methionine metabolism
1.13.11.20	Cysteine and methionine metabolism
1.13.11.53	Cysteine and methionine metabolism
1.13.11.54	Cysteine and methionine metabolism
1.14.17.4	Cysteine and methionine metabolism; Biosynthesis of secondary metabolites
1.4.1.-	Cysteine and methionine metabolism
1.8.1.10	Cysteine and methionine metabolism
1.8.1.6	Cysteine and methionine metabolism
1.8.4.1	Cysteine and methionine metabolism; Glutathione metabolism
1.8.4.13	Cysteine and methionine metabolism
1.8.4.14	Cysteine and methionine metabolism
1.8.4.3	Cysteine and methionine metabolism; Glutathione metabolism
1.8.4.4	Cysteine and methionine metabolism; Glutathione metabolism
2.1.1.10	Cysteine and methionine metabolism; Biosynthesis of secondary metabolites
2.1.1.13	Cysteine and methionine metabolism; One carbon pool by folate; Biosynthesis of secondary metabolites
2.1.1.14	Cysteine and methionine metabolism; Biosynthesis of secondary metabolites
2.1.1.37	Cysteine and methionine metabolism
2.3.1.184	Cysteine and methionine metabolism
2.3.1.30	Cysteine and methionine metabolism; Sulfur metabolism; Biosynthesis of secondary metabolites
2.3.1.31	Cysteine and methionine metabolism; Biosynthesis of antibiotics
2.3.1.46	Cysteine and methionine metabolism; Sulfur metabolism; Biosynthesis of secondary metabolites
2.4.2.28	Cysteine and methionine metabolism
2.4.2.44	Cysteine and methionine metabolism
2.5.1.16	Cysteine and methionine metabolism; Arginine and proline metabolism; Glutathione metabolism
2.5.1.22	Cysteine and methionine metabolism; Arginine and proline metabolism; Glutathione metabolism
2.5.1.47	Cysteine and methionine metabolism; Sulfur metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.5.1.48	Cysteine and methionine metabolism; Sulfur metabolism; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics
2.5.1.49	Cysteine and methionine metabolism
2.5.1.6	Cysteine and methionine metabolism; Biosynthesis of secondary metabolites
2.5.1.65	Cysteine and methionine metabolism; Sulfur metabolism; Biosynthesis of secondary metabolites
2.6.1.3	Cysteine and methionine metabolism
2.6.1.42	"Cysteine and methionine metabolism; Valine, leucine and isoleucine degradation; Valine, leucine and isoleucine biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.6.1.57	"Cysteine and methionine metabolism; Lysine biosynthesis; Tyrosine metabolism; Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
2.7.1.100	Cysteine and methionine metabolism
2.8.1.2	Cysteine and methionine metabolism
3.1.3.77	Cysteine and methionine metabolism
3.1.3.87	Cysteine and methionine metabolism
3.2.2.16	Cysteine and methionine metabolism
3.2.2.9	Cysteine and methionine metabolism
3.3.1.1	Cysteine and methionine metabolism
3.4.13.12	Cysteine and methionine metabolism
3.5.1.31	Cysteine and methionine metabolism; Glyoxylate and dicarboxylate metabolism
3.5.4.31	Cysteine and methionine metabolism
3.5.99.7	Cysteine and methionine metabolism
4.1.1.50	Cysteine and methionine metabolism; Arginine and proline metabolism
4.2.1.109	Cysteine and methionine metabolism
4.4.1.10	Cysteine and methionine metabolism
4.4.1.11	Cysteine and methionine metabolism
4.4.1.14	Cysteine and methionine metabolism; Biosynthesis of secondary metabolites
4.4.1.15	Cysteine and methionine metabolism
4.4.1.21	Cysteine and methionine metabolism
4.4.1.24	Cysteine and methionine metabolism
4.4.1.25	Cysteine and methionine metabolism
4.4.1.8	Cysteine and methionine metabolism; Biosynthesis of secondary metabolites
5.3.1.23	Cysteine and methionine metabolism
5.3.2.5	Cysteine and methionine metabolism
6.3.2.2	Cysteine and methionine metabolism; Glutathione metabolism
6.3.2.3	Cysteine and methionine metabolism; Glutathione metabolism
1.1.1.178	"Valine, leucine and isoleucine degradation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.1.1.31	"Valine, leucine and isoleucine degradation"
1.2.1.27	"Valine, leucine and isoleucine degradation"
1.2.3.1	"Valine, leucine and isoleucine degradation; Tyrosine metabolism; Tryptophan metabolism"
1.2.4.4	"Valine, leucine and isoleucine degradation; Biosynthesis of secondary metabolites; Biosynthesis of antibiotics"
1.2.7.7	"Valine, leucine and isoleucine degradation"
1.3.8.4	"Valine, leucine and isoleucine degradation"
1.3.99.12	"Valine, leucine and isoleucine degradation; Biosynthesis of secondary metabolites"
