Query_label	Target_label	%identity	aligment_length	#mismatches	#gap_opens	start_Q	end_Q	start_T	end_T	E_value	Bit_score
sp|P92549|ATPAM_ARATH	sp|P25705|ATPA_HUMAN	69.76	496	146	3	8	501	49	542	0.0	 701
sp|Q06735|ATPAM_BETVU	sp|P25705|ATPA_HUMAN	70.46	501	144	3	8	506	49	547	0.0	 712
sp|P68542|ATPAM_BRACM	sp|P25705|ATPA_HUMAN	69.35	496	148	3	8	501	49	542	0.0	 696
sp|P22201|ATPAM_BRANA	sp|P25705|ATPA_HUMAN	69.35	496	148	3	8	501	49	542	0.0	 696
sp|P05493|ATPAM_PEA	sp|P25705|ATPA_HUMAN	71.77	496	136	3	8	501	49	542	0.0	 718
sp|P24459|ATPAM_PHAVU	sp|P25705|ATPA_HUMAN	70.46	501	144	3	8	506	49	547	0.0	 714
sp|P68541|ATPAM_RAPSA	sp|P25705|ATPA_HUMAN	69.35	496	148	3	8	501	49	542	0.0	 696
sp|P43395|ATPBM_ACTDE	sp|P06576|ATPB_HUMAN	76.88	173	40	0	1	173	357	529	3e-91	 278
sp|Q8MBG3|ATPB_CUSGR	sp|P06576|ATPB_HUMAN	67.48	492	150	5	5	491	42	528	0.0	 651
sp|A8W3J1|ATPB_CUSOB	sp|P06576|ATPB_HUMAN	67.68	492	149	5	5	491	42	528	0.0	 653
sp|O03070|ATPB_HYPHO	sp|P06576|ATPB_HUMAN	76.21	206	49	0	3	208	300	505	2e-104	 314
sp|O03073|ATPB_LONHI	sp|P06576|ATPB_HUMAN	75.00	208	52	0	1	208	294	501	6e-105	 315
sp|O03077|ATPB_OSMCI	sp|P06576|ATPB_HUMAN	74.55	220	56	0	1	220	291	510	7e-111	 331
sp|Q42687|ATPD_CHLRE	sp|P48047|ATPO_HUMAN	29.38	211	139	4	2	207	1	206	1e-15	72.8
sp|Q96251|ATPO_ARATH	sp|P48047|ATPO_HUMAN	35.15	202	129	2	33	233	13	213	1e-36	 130
sp|Q9C5X4|ATX1_ARATH	sp|Q03164|KMT2A_HUMAN	47.47	158	79	2	883	1038	3814	3969	9e-38	 154
sp|Q9M077|AUR1_ARATH	sp|O14965|AURKA_HUMAN	62.32	284	103	3	6	287	107	388	2e-127	 372
sp|Q94F62|BAK1_ARATH	sp|Q9NWZ3|IRAK4_HUMAN	35.76	316	177	10	262	564	153	455	5e-44	 164
sp|Q9LT17|BBR_ARATH	sp|Q9H0F5|RNF38_HUMAN	40.00	90	52	2	245	333	420	508	4e-18	84.7
sp|Q94CG2|BET12_ARATH	sp|O15155|BET1_HUMAN	26.80	97	71	0	28	124	21	117	2e-12	60.5
sp|Q75HQ3|BGAL7_ORYSJ	sp|Q6UWU2|GLB1L_HUMAN	31.21	330	165	10	36	334	39	337	3e-28	 120
sp|Q9M041|BH140_ARATH	sp|Q7Z2E3|APTX_HUMAN	49.69	159	76	3	739	895	200	356	2e-39	 151
sp|Q9LZM8|BLH9_ARATH	sp|Q96KN3|PKNX2_HUMAN	51.72	58	28	0	355	412	295	352	6e-16	80.5
sp|Q94JY4|BRK1_ARATH	sp|Q8WUW1|BRK1_HUMAN	43.10	58	33	0	17	74	12	69	8e-13	59.3
sp|Q9LJF3|BRL3_ARATH	sp|Q9NWZ3|IRAK4_HUMAN	36.00	300	172	8	846	1135	168	457	1e-41	 160
sp|Q9ZVT9|C2GR1_ARATH	sp|Q6DN12|MCTP2_HUMAN	42.86	91	52	0	3	93	511	601	1e-14	78.6
sp|Q9C9N3|C3H14_ARATH	sp|Q07352|TISB_HUMAN	66.13	62	21	0	234	295	116	177	2e-24	 100
sp|Q9C9F5|C3H15_ARATH	sp|Q07352|TISB_HUMAN	55.13	78	35	0	219	296	111	188	3e-24	 100
sp|Q0DYP5|C3H17_ORYSJ	sp|Q969H0|FBXW7_HUMAN	31.00	200	124	7	146	338	457	649	3e-18	87.0
sp|Q0JD07|C3H28_ORYSJ	sp|Q9NUK0|MBNL3_HUMAN	41.79	67	37	2	106	171	177	242	3e-11	63.9
sp|O49342|C71AD_ARATH	sp|P11712|CP2C9_HUMAN	28.97	435	281	17	25	445	21	441	5e-42	 157
sp|Q9XHE7|C71DD_MENPI	sp|P11509|CP2A6_HUMAN	26.59	504	320	19	9	487	8	486	2e-38	 147
sp|O49396|C82C3_ARATH	sp|P04798|CP1A1_HUMAN	24.57	521	341	11	1	495	7	501	5e-35	 137
sp|Q7XU38|C87A3_ORYSJ	sp|Q9NR63|CP26B_HUMAN	25.15	501	353	10	22	511	2	491	6e-44	 163
sp|P98188|C94A2_VICSA	sp|P98187|CP4F8_HUMAN	23.06	438	293	12	92	507	102	517	9e-33	 130
sp|P25854|CALM1_ARATH	sp|P62158|CALM_HUMAN	89.26	149	16	0	1	149	1	149	3e-95	 275
sp|P62200|CALM1_DAUCA	sp|P62158|CALM_HUMAN	89.93	149	15	0	1	149	1	149	7e-96	 276
sp|A2WN93|CALM1_ORYSI	sp|P62158|CALM_HUMAN	90.60	149	14	0	1	149	1	149	3e-96	 278
sp|Q0JNS6|CALM1_ORYSJ	sp|P62158|CALM_HUMAN	90.60	149	14	0	1	149	1	149	3e-96	 278
sp|P62199|CALM1_PETHY	sp|P62158|CALM_HUMAN	89.93	149	15	0	1	149	1	149	7e-96	 276
sp|P13868|CALM1_SOLTU	sp|P62158|CALM_HUMAN	90.60	149	14	0	1	149	1	149	7e-95	 274
sp|P25069|CALM2_ARATH	sp|P62158|CALM_HUMAN	89.26	149	16	0	1	149	1	149	2e-95	 275
sp|A2Y609|CALM2_ORYSI	sp|P62158|CALM_HUMAN	90.60	149	14	0	1	149	1	149	2e-96	 278
sp|Q6F332|CALM2_ORYSJ	sp|P62158|CALM_HUMAN	90.60	149	14	0	1	149	1	149	2e-96	 278
sp|P27163|CALM2_PETHY	sp|P62158|CALM_HUMAN	89.93	149	15	0	1	149	1	149	1e-94	 273
sp|Q7DMP0|CALM2_SOLTU	sp|P62158|CALM_HUMAN	89.52	124	13	0	1	124	26	149	2e-78	 231
sp|Q7DMP0|CALM2_SOLTU	sp|P62158|CALM_HUMAN	47.69	65	34	0	60	124	12	76	7e-13	62.0
sp|P62163|CALM2_SOYBN	sp|P62158|CALM_HUMAN	90.60	149	14	0	1	149	1	149	3e-96	 278
sp|A2WNH1|CALM3_ORYSI	sp|P62158|CALM_HUMAN	89.93	149	15	0	1	149	1	149	1e-95	 276
sp|Q0JNL7|CALM3_ORYSJ	sp|P62158|CALM_HUMAN	89.26	149	16	0	1	149	1	149	5e-95	 275
sp|P27164|CALM3_PETHY	sp|P62158|CALM_HUMAN	89.86	148	15	0	1	148	1	148	2e-95	 277
sp|P27164|CALM3_PETHY	sp|P62158|CALM_HUMAN	39.77	88	53	0	85	172	12	99	3e-13	64.3
sp|Q41420|CALM3_SOLTU	sp|P62158|CALM_HUMAN	85.48	124	18	0	1	124	26	149	4e-74	 220
sp|Q41420|CALM3_SOLTU	sp|P62158|CALM_HUMAN	44.62	65	36	0	60	124	12	76	2e-11	58.2
sp|Q7DMN9|CALM5_SOLTU	sp|P62158|CALM_HUMAN	89.93	149	15	0	1	149	1	149	7e-96	 276
sp|Q03509|CALM6_ARATH	sp|P62158|CALM_HUMAN	89.26	149	16	0	1	149	1	149	2e-95	 276
sp|P59220|CALM7_ARATH	sp|P62158|CALM_HUMAN	89.93	149	15	0	1	149	1	149	7e-96	 276
sp|P15094|CALM_ACHKL	sp|P62158|CALM_HUMAN	92.62	149	11	0	1	149	1	149	7e-96	 276
sp|A4UHC0|CALM_ALEFU	sp|P62158|CALM_HUMAN	91.95	149	12	0	1	149	1	149	9e-98	 281
sp|P62202|CALM_BRYDI	sp|P62158|CALM_HUMAN	89.93	149	15	0	1	149	1	149	7e-96	 276
sp|P93087|CALM_CAPAN	sp|P62158|CALM_HUMAN	89.26	149	16	0	1	149	1	149	3e-95	 275
sp|P04352|CALM_CHLRE	sp|P62158|CALM_HUMAN	89.04	146	16	0	6	151	3	148	6e-93	 270
sp|P04352|CALM_CHLRE	sp|P62158|CALM_HUMAN	46.15	65	35	0	15	79	85	149	3e-13	63.9
sp|P11118|CALM_EUGGR	sp|P62158|CALM_HUMAN	89.26	149	16	0	1	149	1	149	4e-95	 275
sp|Q7Y052|CALM_EUPCH	sp|P62158|CALM_HUMAN	89.93	149	15	0	1	149	1	149	7e-96	 276
sp|P93171|CALM_HELAN	sp|P62158|CALM_HUMAN	90.60	149	14	0	1	149	1	149	2e-96	 278
sp|A8I1Q0|CALM_HETTR	sp|P62158|CALM_HUMAN	91.28	149	13	0	1	149	1	149	2e-97	 280
sp|P62162|CALM_HORVU	sp|P62158|CALM_HUMAN	90.60	149	14	0	1	149	1	149	3e-96	 278
sp|A3E4F9|CALM_KARMI	sp|P62158|CALM_HUMAN	91.95	149	12	0	1	149	1	149	9e-98	 281
sp|P62201|CALM_LILLO	sp|P62158|CALM_HUMAN	89.93	149	15	0	1	149	1	149	7e-96	 276
sp|Q40302|CALM_MACPY	sp|P62158|CALM_HUMAN	95.30	149	7	0	1	149	1	149	4e-100	 287
sp|P41040|CALM_MAIZE	sp|P62158|CALM_HUMAN	90.60	149	14	0	1	149	1	149	3e-96	 278
sp|P48976|CALM_MALDO	sp|P62158|CALM_HUMAN	89.26	149	16	0	1	149	1	149	2e-94	 273
sp|P17928|CALM_MEDSA	sp|P62158|CALM_HUMAN	90.60	149	14	0	1	149	1	149	2e-96	 278
sp|O82018|CALM_MOUSC	sp|P62158|CALM_HUMAN	91.95	149	12	0	1	149	1	149	1e-97	 281
sp|A3E3H0|CALM_PFIPI	sp|P62158|CALM_HUMAN	91.95	149	12	0	1	149	1	149	9e-98	 281
sp|P27165|CALM_PHYIN	sp|P62158|CALM_HUMAN	94.63	149	8	0	1	149	1	149	1e-99	 286
sp|A3E4D8|CALM_PROMN	sp|P62158|CALM_HUMAN	91.95	149	12	0	1	149	1	149	9e-98	 281
sp|Q71UH5|CALM_PYTSP	sp|P62158|CALM_HUMAN	94.63	149	8	0	1	149	1	149	1e-99	 286
sp|A8CEP3|CALM_SACJA	sp|P62158|CALM_HUMAN	93.96	149	9	0	1	149	1	149	9e-99	 284
sp|P27161|CALM_SOLLC	sp|P62158|CALM_HUMAN	91.28	149	13	0	1	149	1	149	1e-95	 276
sp|P04353|CALM_SPIOL	sp|P62158|CALM_HUMAN	89.93	149	15	0	1	149	1	149	1e-95	 276
sp|P04464|CALM_WHEAT	sp|P62158|CALM_HUMAN	90.60	149	14	0	1	149	1	149	6e-96	 277
sp|C6TH93|CASP3_SOYBN	sp|P62258|1433E_HUMAN	82.50	40	7	0	6	45	3	42	2e-14	69.7
sp|P25890|CATA_PEA	sp|P04040|CATA_HUMAN	51.25	359	175	0	10	368	20	378	1e-127	 385
sp|P05434|CATR_CHLRE	sp|P41208|CETN2_HUMAN	71.08	166	48	0	4	169	7	172	2e-78	 234
sp|P54213|CATR_DUNSA	sp|P41208|CETN2_HUMAN	78.38	148	32	0	22	169	25	172	5e-78	 233
sp|P43645|CATR_SPESI	sp|Q12798|CETN1_HUMAN	78.38	148	32	0	1	148	25	172	2e-80	 238
sp|P43646|CATR_TETST	sp|Q12798|CETN1_HUMAN	81.08	148	28	0	1	148	25	172	2e-83	 246
sp|Q0DWQ7|CCB12_ORYSJ	sp|P78396|CCNA1_HUMAN	47.30	74	39	0	144	217	276	349	4e-15	76.3
sp|Q39068|CCB21_ARATH	sp|O95067|CCNB2_HUMAN	39.77	264	153	4	154	414	117	377	7e-56	 192
sp|Q01J96|CCB21_ORYSI	sp|O95067|CCNB2_HUMAN	42.41	257	144	3	139	393	119	373	1e-62	 210
sp|Q7XSJ6|CCB21_ORYSJ	sp|O95067|CCNB2_HUMAN	42.41	257	144	3	139	393	119	373	1e-62	 210
sp|Q39070|CCB22_ARATH	sp|O95067|CCNB2_HUMAN	41.76	261	148	3	157	415	119	377	6e-61	 206
sp|Q9LDM4|CCB23_ARATH	sp|O95067|CCNB2_HUMAN	39.30	257	152	3	162	416	119	373	2e-60	 204
sp|P34801|CCN2_ANTMA	sp|P78396|CCNA1_HUMAN	39.18	268	153	6	176	438	197	459	1e-50	 180
sp|P46277|CCNB1_MEDSV	sp|O95067|CCNB2_HUMAN	40.54	259	150	3	155	411	117	373	3e-61	 206
sp|Q8GYM6|CCT14_ARATH	sp|O75909|CCNK_HUMAN	35.08	248	143	5	33	271	24	262	8e-41	 155
sp|Q9FKE6|CCT15_ARATH	sp|O75909|CCNK_HUMAN	36.29	248	140	5	33	271	24	262	9e-43	 162
sp|P54609|CD48A_ARATH	sp|P55072|TERA_HUMAN	77.20	807	178	5	5	808	2	805	0.0	1246
sp|Q9ZPR1|CD48B_ARATH	sp|Q8NB90|SPAT5_HUMAN	42.49	233	126	5	282	510	349	577	5e-44	 168
sp|P43290|CDC2_PETHY	sp|Q00526|CDK3_HUMAN	67.78	90	29	0	1	90	42	131	1e-38	 132
sp|Q6ZAG3|CDKC3_ORYSJ	sp|Q9NYV4|CDK12_HUMAN	48.34	302	144	4	20	315	720	1015	5e-85	 281
sp|Q84TI6|CDKE1_ARATH	sp|Q9BWU1|CDK19_HUMAN	44.66	365	182	8	14	368	11	365	5e-95	 299
sp|Q42438|CDPK8_ARATH	sp|Q13557|KCC2D_HUMAN	42.62	298	165	6	57	351	14	308	7e-69	 232
sp|Q9SIQ7|CDPKO_ARATH	sp|Q13557|KCC2D_HUMAN	43.51	262	144	4	65	324	13	272	1e-64	 222
sp|Q37761|CH10_CYAPA	sp|P61604|CH10_HUMAN	39.77	88	53	0	13	100	11	98	4e-11	55.8
sp|Q93ZM7|CH60C_ARATH	sp|P10809|CH60_HUMAN	55.97	536	232	4	28	561	23	556	0.0	 575
sp|Q37757|CH60_CYAPA	sp|P10809|CH60_HUMAN	45.42	524	282	3	2	523	27	548	8e-153	 453
sp|P80502|CH60_SOLTU	sp|P10809|CH60_HUMAN	76.92	39	9	0	2	40	27	65	7e-14	64.3
sp|Q94CG0|CIPKL_ARATH	sp|P54646|AAPK2_HUMAN	45.80	262	140	2	5	265	9	269	8e-75	 246
sp|Q93VD3|CIPKN_ARATH	sp|P54646|AAPK2_HUMAN	44.29	289	153	3	24	308	9	293	2e-86	 279
sp|Q6ZLP5|CIPKN_ORYSJ	sp|P54646|AAPK2_HUMAN	45.33	289	150	3	6	290	9	293	4e-85	 274
sp|Q43175|CISY_SOLTU	sp|O75390|CISY_HUMAN	59.31	435	169	7	34	464	27	457	0.0	 535
sp|Q8H2V6|CITRX_ORYSJ	sp|P10599|THIO_HUMAN	34.12	85	54	2	82	165	1	84	1e-11	58.9
sp|O23249|CKS1_ARATH	sp|P61024|CKS1_HUMAN	69.57	69	21	0	3	71	5	73	1e-32	 110
sp|A2XCH8|CKS1_ORYSI	sp|P33552|CKS2_HUMAN	68.00	75	24	0	3	77	5	79	1e-32	 111
sp|Q6PS57|CKS1_ORYSJ	sp|P33552|CKS2_HUMAN	68.00	75	24	0	3	77	5	79	1e-32	 111
sp|Q9SJJ5|CKS2_ARATH	sp|P61024|CKS1_HUMAN	72.46	69	19	0	3	71	5	73	2e-33	 112
sp|Q36863|CLPP1_CYAPA	sp|Q16740|CLPP_HUMAN	42.69	171	98	0	22	192	77	247	5e-46	 155
sp|Q9FN42|CLPP2_ARATH	sp|Q16740|CLPP_HUMAN	60.00	200	80	0	24	223	50	249	8e-86	 259
sp|Q9S834|CLPP5_ARATH	sp|Q16740|CLPP_HUMAN	52.51	179	85	0	110	288	70	248	2e-57	 189
sp|Q06J25|CLPP_BIGNA	sp|Q16740|CLPP_HUMAN	40.76	184	109	0	12	195	64	247	1e-47	 160
sp|Q19VC3|CLPP_CHLAT	sp|Q16740|CLPP_HUMAN	43.10	174	99	0	22	195	74	247	7e-49	 164
sp|P56317|CLPP_CHLVU	sp|Q16740|CLPP_HUMAN	45.09	173	95	0	22	194	74	246	2e-55	 180
sp|A6YG63|CLPP_LEPTE	sp|Q16740|CLPP_HUMAN	42.69	171	98	0	22	192	74	244	6e-49	 163
sp|Q9MUV8|CLPP_MESVI	sp|Q16740|CLPP_HUMAN	43.10	174	99	0	22	195	74	247	1e-49	 166
sp|Q9TL09|CLPP_NEPOL	sp|Q16740|CLPP_HUMAN	39.77	171	103	0	22	192	74	244	4e-44	 151
sp|Q20F17|CLPP_OLTVI	sp|Q16740|CLPP_HUMAN	48.54	171	88	0	22	192	74	244	1e-57	 186
sp|Q0P3P4|CLPP_OSTTA	sp|Q16740|CLPP_HUMAN	42.11	171	99	0	22	192	74	244	6e-48	 160
sp|Q3ZJ12|CLPP_PSEAK	sp|Q16740|CLPP_HUMAN	44.44	171	95	0	22	192	74	244	2e-53	 175
sp|A1XGR3|CLPP_RANMC	sp|Q16740|CLPP_HUMAN	40.78	179	104	2	22	199	74	251	1e-40	 142
sp|Q42498|CMB2_DIACA	sp|Q06413|MEF2C_HUMAN	54.24	59	27	0	1	59	1	59	8e-15	72.8
sp|Q8RZB5|CML10_ORYSJ	sp|P62158|CALM_HUMAN	44.44	63	35	0	38	100	83	145	7e-11	57.4
sp|Q9LIK5|CML11_ARATH	sp|P62158|CALM_HUMAN	75.35	142	35	0	28	169	5	146	1e-77	 231
sp|Q5ZD81|CML12_ORYSJ	sp|P62158|CALM_HUMAN	46.38	69	37	0	174	242	11	79	6e-13	64.3
sp|Q6L5F4|CML14_ORYSJ	sp|P62158|CALM_HUMAN	43.48	69	39	0	100	168	11	79	4e-11	57.8
sp|Q6L4D4|CML15_ORYSJ	sp|P62158|CALM_HUMAN	41.67	72	42	0	44	115	74	145	8e-12	60.5
sp|Q9LI84|CML16_ARATH	sp|P62158|CALM_HUMAN	41.18	68	40	0	87	154	12	79	5e-11	57.4
sp|Q5ZCK5|CML16_ORYSJ	sp|P62158|CALM_HUMAN	45.59	68	37	0	100	167	8	75	1e-13	65.1
sp|Q40642|CML1_ORYSI	sp|P62158|CALM_HUMAN	81.21	149	28	0	1	149	1	149	2e-86	 254
sp|Q8S1Y9|CML1_ORYSJ	sp|P62158|CALM_HUMAN	79.87	149	30	0	1	149	1	149	8e-85	 250
sp|Q9C8Y1|CML23_ARATH	sp|P62158|CALM_HUMAN	48.44	64	33	0	88	151	10	73	1e-14	67.8
sp|P25070|CML24_ARATH	sp|P62158|CALM_HUMAN	44.62	65	36	0	92	156	10	74	3e-14	67.0
sp|Q9FYK2|CML25_ARATH	sp|P62158|CALM_HUMAN	44.60	139	77	0	34	172	9	147	2e-33	 118
sp|Q0IUU4|CML2_ORYSJ	sp|P62158|CALM_HUMAN	68.71	147	46	0	2	148	3	149	2e-71	 216
sp|Q9LF55|CML32_ARATH	sp|P62158|CALM_HUMAN	49.23	65	33	0	79	143	14	78	6e-14	65.5
sp|Q0IQB6|CML3_ORYSJ	sp|P62158|CALM_HUMAN	67.35	147	48	0	2	148	3	149	6e-70	 212
sp|Q8L3R2|CML41_ARATH	sp|P62158|CALM_HUMAN	47.06	68	36	0	61	128	82	149	7e-15	69.3
sp|Q8W4L0|CML49_ARATH	sp|Q9UBV8|PEF1_HUMAN	37.35	166	102	2	162	326	112	276	4e-34	 128
sp|Q84MN0|CML4_ORYSJ	sp|P62158|CALM_HUMAN	69.01	142	44	0	4	145	5	146	7e-65	 198
sp|Q84MN0|CML4_ORYSJ	sp|P62158|CALM_HUMAN	42.86	63	36	0	13	75	87	149	5e-12	60.5
sp|Q9FYE4|CML50_ARATH	sp|Q9UBV8|PEF1_HUMAN	36.36	165	103	2	182	345	113	276	5e-31	 120
sp|O22845|CML5_ARATH	sp|P62158|CALM_HUMAN	51.43	70	30	2	139	206	6	73	1e-12	62.8
sp|Q948R0|CML5_ORYSJ	sp|P62158|CALM_HUMAN	47.69	65	34	0	15	79	85	149	2e-13	64.3
sp|O23320|CML8_ARATH	sp|P62158|CALM_HUMAN	71.83	142	40	0	6	147	5	146	4e-74	 221
sp|Q9S744|CML9_ARATH	sp|P62158|CALM_HUMAN	50.68	148	73	0	1	148	1	148	1e-45	 149
sp|O65718|CNGC2_ARATH	sp|Q16281|CNGA3_HUMAN	26.46	223	158	3	381	600	330	549	4e-19	91.7
sp|Q39055|CNX2_ARATH	sp|Q9NZB8|MOCS1_HUMAN	62.20	328	124	0	61	388	56	383	1e-148	 439
sp|Q39056|CNX3_ARATH	sp|Q9NZB8|MOCS1_HUMAN	49.68	155	78	0	115	269	481	635	7e-44	 158
sp|Q9CAA0|COB21_ARATH	sp|P35606|COPB2_HUMAN	61.94	825	312	2	1	824	1	824	0.0	1124
sp|Q9LJD7|COP10_ARATH	sp|Q969T4|UB2E3_HUMAN	58.78	148	61	0	34	181	59	206	1e-65	 203
sp|Q9SV21|COPB1_ARATH	sp|P53618|COPB_HUMAN	49.68	942	444	12	22	948	26	952	0.0	 911
sp|Q9SV20|COPB2_ARATH	sp|P53618|COPB_HUMAN	49.68	942	444	12	22	948	26	952	0.0	 911
sp|Q8LBN7|COSA_ARATH	sp|Q9P1F3|ABRAL_HUMAN	70.51	78	23	0	1	78	1	78	4e-35	 117
sp|A2XKU9|COSA_ORYSI	sp|Q9P1F3|ABRAL_HUMAN	68.35	79	25	0	1	79	1	79	2e-33	 113
sp|Q6AVK1|COSA_ORYSJ	sp|Q9P1F3|ABRAL_HUMAN	68.35	79	25	0	1	79	1	79	2e-33	 113
sp|A9NK39|COSA_PICSI	sp|Q9P1F3|ABRAL_HUMAN	68.75	80	25	0	3	82	1	80	4e-34	 115
sp|B4YYA9|COSA_THEHA	sp|Q9P1F3|ABRAL_HUMAN	70.51	78	23	0	1	78	1	78	2e-35	 118
sp|P34791|CP20C_ARATH	sp|P23284|PPIB_HUMAN	66.07	168	57	0	92	259	41	208	4e-77	 236
sp|Q9SRM5|CPR49_ARATH	sp|Q2TAA2|IAH1_HUMAN	30.73	205	138	4	7	209	16	218	3e-31	 117
sp|Q6NQ87|CRK22_ARATH	sp|Q9NWZ3|IRAK4_HUMAN	34.29	312	185	6	332	633	159	460	3e-36	 142
sp|Q9M0G5|CRK43_ARATH	sp|Q9NWZ3|IRAK4_HUMAN	34.43	305	180	8	311	605	160	454	3e-40	 153
sp|Q9FKN4|CRS2A_ARATH	sp|Q86Y79|PTH_HUMAN	28.09	178	122	3	52	226	31	205	1e-20	87.4
sp|Q9LF14|CRS2B_ARATH	sp|Q86Y79|PTH_HUMAN	32.56	172	110	3	46	214	31	199	1e-23	96.3
sp|Q9M5P4|CRS2_MAIZE	sp|Q86Y79|PTH_HUMAN	28.49	172	117	3	62	230	31	199	2e-19	84.3
sp|Q5ZCL8|CRS2_ORYSJ	sp|Q86Y79|PTH_HUMAN	29.65	172	115	3	65	233	31	199	3e-22	92.4
sp|O64817|CSK23_ARATH	sp|P68400|CSK21_HUMAN	75.70	321	78	0	2	322	7	327	4e-169	 480
sp|P28523|CSK2A_MAIZE	sp|P68400|CSK21_HUMAN	77.57	321	72	0	2	322	7	327	8e-174	 492
sp|P40228|CSK2B_ARATH	sp|P67870|CSK2B_HUMAN	58.33	192	80	0	94	285	2	193	3e-83	 253
sp|P40229|CSK2C_ARATH	sp|P67870|CSK2B_HUMAN	58.33	192	80	0	89	280	2	193	5e-83	 252
sp|O81275|CSK2D_ARATH	sp|P67870|CSK2B_HUMAN	55.73	192	85	0	83	274	2	193	2e-81	 248
sp|O80507|CSK2E_ARATH	sp|P67870|CSK2B_HUMAN	57.81	192	81	0	89	280	2	193	2e-83	 253
sp|Q94JU3|CSN7_ARATH	sp|Q9H9Q2|CSN7B_HUMAN	37.56	221	136	2	1	220	1	220	2e-44	 153
sp|P57758|CTNS_ARATH	sp|O60931|CTNS_HUMAN	46.50	243	128	2	5	246	119	360	1e-67	 217
sp|A8JF71|CTU1_CHLRE	sp|Q7Z7A3|CTU1_HUMAN	48.63	329	157	6	1	323	1	323	2e-104	 315
sp|Q8LGH4|CUL4_ARATH	sp|Q13619|CUL4A_HUMAN	58.31	722	297	3	73	792	40	759	0.0	 855
sp|P93009|CUTA_ARATH	sp|O60888|CUTA_HUMAN	47.47	99	52	0	84	182	72	170	1e-30	 112
sp|Q8LDI5|CXXS1_ARATH	sp|P10599|THIO_HUMAN	39.76	83	50	0	27	109	23	105	2e-17	73.6
sp|Q0J9V5|CXXS1_ORYSJ	sp|P10599|THIO_HUMAN	36.25	80	51	0	37	116	23	102	4e-12	59.3
sp|Q8GXV2|CXXS2_ARATH	sp|P10599|THIO_HUMAN	33.33	78	52	0	63	140	21	98	5e-13	62.4
sp|P25076|CY11_SOLTU	sp|P08574|CY1_HUMAN	60.61	231	91	0	84	314	89	319	5e-96	 290
sp|P20114|CY1_EUGGR	sp|P08574|CY1_HUMAN	47.90	238	122	2	2	238	87	323	2e-69	 219
sp|P49390|CYB_BRANA	sp|P00156|CYB_HUMAN	53.85	78	36	0	12	89	7	84	5e-27	 102
sp|P29380|CYC1_ARATH	sp|P99999|CYC_HUMAN	62.75	102	38	0	10	111	2	103	2e-42	 137
sp|O23138|CYC2_ARATH	sp|P99999|CYC_HUMAN	64.71	102	36	0	10	111	2	103	1e-45	 145
sp|Q9T0G2|CYC3_ARATH	sp|P99999|CYC_HUMAN	65.69	102	35	0	10	111	2	103	7e-46	 146
sp|P00059|CYC_ABUTH	sp|P99999|CYC_HUMAN	67.65	102	33	0	9	110	2	103	2e-49	 155
sp|P00063|CYC_ACENE	sp|P99999|CYC_HUMAN	64.71	102	36	0	9	110	2	103	5e-46	 147
sp|P00064|CYC_ALLPO	sp|P99999|CYC_HUMAN	65.69	102	35	0	9	110	2	103	5e-49	 154
sp|P00065|CYC_ARUMA	sp|P99999|CYC_HUMAN	65.69	102	35	0	9	110	2	103	3e-46	 147
sp|P62772|CYC_BRANA	sp|P99999|CYC_HUMAN	66.67	102	34	0	9	110	2	103	2e-46	 148
sp|P62773|CYC_BRAOL	sp|P99999|CYC_HUMAN	66.67	102	34	0	9	110	2	103	2e-46	 148
sp|P00053|CYC_CANSA	sp|P99999|CYC_HUMAN	61.76	102	39	0	9	110	2	103	2e-44	 142
sp|P15451|CYC_CHLRE	sp|P99999|CYC_HUMAN	65.69	102	35	0	10	111	2	103	1e-46	 149
sp|P00051|CYC_CUCMA	sp|P99999|CYC_HUMAN	67.65	102	33	0	9	110	2	103	1e-48	 153
sp|P00075|CYC_ENTIN	sp|P99999|CYC_HUMAN	60.78	102	40	0	9	110	2	103	2e-45	 145
sp|P00072|CYC_FAGES	sp|P99999|CYC_HUMAN	70.59	102	30	0	9	110	2	103	1e-50	 159
sp|O22642|CYC_FRIAG	sp|P99999|CYC_HUMAN	66.35	104	35	0	10	113	2	105	2e-48	 153
sp|P00074|CYC_GINBI	sp|P99999|CYC_HUMAN	64.42	104	37	0	9	112	2	105	3e-49	 155
sp|P00058|CYC_GOSBA	sp|P99999|CYC_HUMAN	65.69	102	35	0	9	110	2	103	7e-48	 151
sp|P00069|CYC_GUIAB	sp|P99999|CYC_HUMAN	63.73	102	37	0	9	110	2	103	2e-48	 153
sp|P00070|CYC_HELAN	sp|P99999|CYC_HUMAN	67.65	102	33	0	10	111	2	103	2e-47	 150
sp|P00056|CYC_MAIZE	sp|P99999|CYC_HUMAN	66.67	102	34	0	9	110	2	103	2e-47	 150
sp|P00066|CYC_NIGDA	sp|P99999|CYC_HUMAN	62.75	102	38	0	9	110	2	103	2e-46	 147
sp|A2Y4S9|CYC_ORYSI	sp|P99999|CYC_HUMAN	66.02	103	35	0	10	112	2	104	6e-48	 152
sp|Q0DI31|CYC_ORYSJ	sp|P99999|CYC_HUMAN	66.02	103	35	0	10	112	2	104	6e-48	 152
sp|P00071|CYC_PASSA	sp|P99999|CYC_HUMAN	64.71	102	36	0	9	110	2	103	4e-47	 149
sp|P00057|CYC_RICCO	sp|P99999|CYC_HUMAN	68.63	102	32	0	9	110	2	103	4e-49	 155
